"REF_DATE","GEO","DGUID","Production, sales and inventories activities","Tobacco products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004-01","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2932197","","","","0"
"2004-02","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2675718","","","","0"
"2004-03","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3208140","","","","0"
"2004-04","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3107788","","","","0"
"2004-05","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3185678","","","","0"
"2004-06","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3772473","","","","0"
"2004-07","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2562059","","","","0"
"2004-08","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3238115","","","","0"
"2004-09","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3694043","","","","0"
"2004-10","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3388046","","","","0"
"2004-11","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3801400","","","","0"
"2004-12","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2345731","","","","0"
"2005-01","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2967012","","","","0"
"2005-02","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3071744","","","","0"
"2005-03","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3364751","","","","0"
"2005-04","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3610165","","","","0"
"2005-05","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3004348","","","","0"
"2005-06","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3423538","","","","0"
"2005-07","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3073654","","","","0"
"2005-08","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3224215","","","","0"
"2005-09","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3282396","","","","0"
"2005-10","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3465835","","","","0"
"2005-11","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","3140783","","","","0"
"2005-12","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2654662","","","","0"
"2006-01","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2302406","","","","0"
"2006-02","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2778209","","","","0"
"2006-03","Canada","2016A000011124","Production","Cigarettes [2402.20]","Number","223","thousands","3","v28536392","1.1.1","2499460","","","","0"
